,Business Name,Address,City,Permit_ID,Type,Class,Inspection_Date,Inspection_Type,Grade,Priority_Violations,Inspection_Details
112,Fat Freddy's Catering,2201 W Melinda Ln  ,Phoenix,FD-10338,Food Catering    ,Class 5,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10338&i=5668409
113,Westin Kierland Resort,6902 E Greenway Pkwy  ,Scottsdale,FD-10636,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,B,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10636&i=5668811
114,Westin Kierland Resort,6902 E Greenway Pkwy  ,Scottsdale,FD-10643,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10643&i=5668805
115,Westin Kierland Resort,6902 E Greenway Pkwy  ,Scottsdale,FD-10650,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10650&i=5668851
116,Westin Kierland Resort,6902 E Greenway Pkwy  ,Scottsdale,FD-10651,Food Catering    ,Class 5,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-10651&i=5668810
117,Freddy's Frozen Custard,4929 W Bell Rd  ,Phoenix,FD-11202,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-11202&i=5667799
118,Taco Bell  No 23151,13752 W Waddell Rd  ,Surprise,FD-11326,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-11326&i=5667940
119,Loretos Mexican Food,9206 S Avenida Del Yaqui   ,Guadalupe,FD-11682,E & D  0-9 Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-11682&i=5668982
120,Jack In The Box  No 1552,6120 S 35th Ave  ,Phoenix,FD-11699,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-11699&i=5668825
121,CVS Pharmacy  No 1720,21201 E Ocotillo Rd  ,Queen Creek,FD-11815,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-11815&i=5668802
122,Harkins Park West,9804 W Northern Ave  ,Peoria,FD-11912,E & D  0-9 Seating  ,Class 3,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-11912&i=5667583
123,Moreno's Mexican Grill  No 2,601 N Arizona Ave  ,Chandler,FD-12229,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-12229&i=5668769
124,Church's Chicken  No 686,3150 E Thomas Rd  ,Phoenix,FD-12313,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-12313&i=5668845
125,Target,21398 S Ellsworth Loop Rd  ,Queen Creek,FD-12331,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-12331&i=5667800
126,Kabuki Restaurant,6770 N Sunrise Blvd Suite G-211,Glendale,FD-12340,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-12340&i=5668797
127,Chipotle Mexican Grill  No 1119,2470 W Happy Valley Rd Suite 1181,Phoenix,FD-12699,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-12699&i=5668666
128,Circle K Store  No 3378,5880 W Camelback Rd  ,Glendale,FD-12999,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-12999&i=5668256
129,Circle K Store  No 3378,5880 W Camelback Rd  ,Glendale,FD-13000,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13000&i=5668303
130,Chipotle Mexican Grill  No 1079,2415 E Baseline Rd Suite 111,Phoenix,FD-13108,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13108&i=5668681
131,Walgreens Store  No 11116,21212 E Ocotillo Rd  ,Queen Creek,FD-13393,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13393&i=5668725
132,Mekong Plaza Grocery Store,66 S Dobson Rd Suite 132,Mesa,FD-13499,Meat Market    ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13499&i=5668388
133,Nypd Pizza,2580 W Chandler Blvd Suite 1,Chandler,FD-13526,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13526&i=5667894
134,Walgreens Drug Store  No 11610,2000 S Mill Ave  ,Tempe,FD-13631,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13631&i=5668860
135,Safeway  No 2821,3800 W Happy Valley Rd  ,Glendale,FD-13674,E & D  0-9 Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13674&i=5668865
136,Safeway  No 2821,3800 W Happy Valley Rd  ,Glendale,FD-13678,Meat Market    ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13678&i=5668866
137,Dollar Tree  No 3952,5745 N 19th Ave  ,Phoenix,FD-13731,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-13731&i=5667791
138,Barro's Pizza,15475 W Mcdowell Rd Suite 103,Goodyear,FD-14460,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-14460&i=5668785
139,Sun Lakes Country Club  No 1,25601  Sun Lakes Blvd  ,Sun Lakes,FD-14709,E & D  10+ Seating  ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-14709&i=5668792
140,El Super,7502 W Thomas Rd  ,Phoenix,FD-14892,Bakery    ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-14892&i=5667598
141,El Super,7502 W Thomas Rd  ,Phoenix,FD-14893,Meat Market    ,Class 4,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-14893&i=5667590
142,El Super,7502 W Thomas Rd  ,Phoenix,FD-14894,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-14894&i=5667601
143,El Super,7502 W Thomas Rd  ,Phoenix,FD-14895,E & D  0-9 Seating  ,Class 3,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-14895&i=5667593
144,Alexis Grill,3550 N Central Ave Suite 120,Phoenix,FD-14971,Food Catering    ,Class 5,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-14971&i=5667534
145,Charles Schwab Employee Cafe,4750 E Francisco Dr  ,Phoenix,FD-15083,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15083&i=5667866
146,Advanced Healthcare Of Glendale,16825 N 63rd Ave  ,Glendale,FD-15118,Nursing Home    ,Class 5,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15118&i=5668398
147,Dollar General  No 11976,1901 W Camelback Rd  ,Phoenix,FD-15177,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15177&i=5668970
148,Cold Stone Creamery,455 N 3rd St Suite 168,Phoenix,FD-15246,E & D  0-9 Seating  ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15246&i=5667928
149,Lola's African Variety Store,8021 N 43rd Ave Suite 8B,Phoenix,FD-15278,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15278&i=5667545
150,Church's Chicken,817 N Arizona Ave  ,Chandler,FD-15509,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15509&i=5667792
151,America Marketplace,6802 E Thomas Rd  ,Scottsdale,FD-15571,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15571&i=5668892
152,Support Services Complex,10721 N 95th Ave  ,Peoria,FD-15708,Food Jobber    ,Class 2,03/12/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15708&i=5668071
153,Jalapeno Inferno Ghost Kitchen,7605 E Pinnacle Peak Rd Suite D1,Scottsdale,FD-15792,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15792&i=5667620
154,Lola's African Variety Store,8021 N 43rd Ave Suite 8B,Phoenix,FD-15806,Food Processor    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-15806&i=5667555
155,Biltmore Golf Club,2400 E Missouri Ave  ,Phoenix,FD-16464,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-16464&i=5668622
156,Chipotle Mexican Grill,5849 W Northern Ave Suite 500,Glendale,FD-16511,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-16511&i=5668760
157,Shell  No 77,461 N Val Vista Dr  ,Mesa,FD-16864,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-16864&i=5668998
158,Ventana Winds LLC,12322 N 113th Ave  ,Youngtown,FD-17122,Assisted Living    ,Class 5,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-17122&i=5668864
159,La Siena,909 E Northern Ave  ,Phoenix,FD-17600,Assisted Living    ,Class 5,03/12/2024,Routine Inspection,Not Participating,3,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-17600&i=5668626
160,Pizza Hut  No 26990,8860 N 43rd Ave  ,Glendale,FD-18000,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18000&i=5667917
161,Panda Express,998 E Indian School Rd  ,Phoenix,FD-18206,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18206&i=5668807
162,Pizza Hut  No 26993,6750 W Peoria Ave  ,Peoria,FD-18240,E & D  0-9 Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18240&i=5667388
163,Pizza Hut  No 26995,6650 W Bethany Home Rd  ,Glendale,FD-18380,E & D  0-9 Seating  ,Class 3,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18380&i=5668828
164,China Buffet,17119 N Litchfield Rd Suite 20,Surprise,FD-18411,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18411&i=5667662
165,Copper Creek Inn Memory Care Comm,2200 W Fairview St  ,Chandler,FD-18618,Assisted Living    ,Class 5,03/11/2024,Routine Inspection,Cutting Edge A+,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18618&i=5667762
166,Don Filos Market,7620 E Mckellips Rd Suite 7&8,Scottsdale,FD-18670,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18670&i=5668595
167,Smart & Final  No 491,2742 E Indian School Rd  ,Phoenix,FD-18718,Meat Market    ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-18718&i=5667904
168,Walgreens Drug Store  No  13758,6200 N Scottsdale Rd  ,Scottsdale,FD-19200,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-19200&i=5668663
169,America Marketplace,6802 E Thomas Rd  ,Scottsdale,FD-20100,Meat Market    ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-20100&i=5668889
170,Moon Valley Grill,15414 N 7th St  ,Phoenix,FD-20263,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-20263&i=5668849
171,Lulu's Italian Water Ice,7601 E Gray Rd Space E,Scottsdale,FD-20597,Food Processor    ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-20597&i=5667856
172,Jack in the Box  No 1541,5115 W Southern Ave  ,Laveen,FD-20679,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-20679&i=5668243
173,Thai Basil - Downtown,114 W Adams St Suite C-104,Phoenix,FD-21506,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-21506&i=5668582
174,Carniceria El Herradero,492 W Ray Rd  ,Chandler,FD-22125,Meat Market    ,Class 4,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-22125&i=5667840
175,Southwest Specialty Food,700 N Bullard Ave  ,Goodyear,FD-22902,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-22902&i=5668771
176,Cuban Foods,10649 N 43rd Ave  ,Phoenix,FD-22925,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-22925&i=5668742
177,Moxies,7014 E Camelback Rd Suite 1423,Scottsdale,FD-23-00016,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-00016&i=5668668
178,Zesty Zzeeks Pizza & Wings,3139 S Mill Ave Suite B5,Tempe,FD-23-00063,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-00063&i=5668850
179,Creme de la Creme,3111 W Chandler Blvd Suite 1028,Chandler,FD-23-01235,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-01235&i=5668987
180,Port of Subs  No 130,4645 E Broadway Rd Suite 101,Phoenix,FD-23-01251,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-01251&i=5668155
181,Wing Kings,2836 E Indian School Rd Suite A1,Phoenix,FD-23-01801,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-01801&i=5667909
182,Maryland Gardens Post Acute,31 W Maryland Ave  ,Phoenix,FD-23-02103,Nursing Home    ,Class 5,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02103&i=5668246
183,Carniceria El Tapatio,4362 W Olive Ave  ,Glendale,FD-23-02340,E & D  0-9 Seating  ,Class 4,03/11/2024,Routine Inspection,B,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02340&i=5667195
184,Carniceria El Tapatio,4362 W Olive Ave  ,Glendale,FD-23-02341,Meat Market    ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02341&i=5667196
185,Carniceria El Tapatio,4362 W Olive Ave  ,Glendale,FD-23-02342,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02342&i=5667198
186,Frutilandia,2624 W Bethany Home Rd  ,Phoenix,FD-23-02416,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02416&i=5667397
187,INFUSION COFFEE & TEA CRAFTERS,6033 S Sossaman Rd Suite 179,Mesa,FD-23-02947,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02947&i=5668696
188,Cubanitas Kitchen,5025 W Olive Ave  ,Glendale,FD-23-02964,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02964&i=5667506
189,Sizzling & Ramen,66 S Dobson Rd Suite 107,Mesa,FD-23-02965,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-02965&i=5668942
190,Country Boys Restaurant,4229 W Bethany Home Rd  ,Phoenix,FD-23-03144,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03144&i=5668349
191,The Dhaba,1872 E Apache Blvd  ,Tempe,FD-23-03159,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03159&i=5667516
192,The Buffalo Spot,18450 N 32nd St Unit 110,Phoenix,FD-23-03198,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03198&i=5668923
193,Fresh & Easy Markets Chandler,2121 W Elgin St  ,Chandler,FD-23-03433,Micromarket    ,Class 1,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03433&i=5667454
194,First Jet Market,6033 S Sossaman Rd Bldg 3,Mesa,FD-23-03746,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03746&i=5668697
195,Potato Corner,3111 W Chandler Blvd Space K205,Chandler,FD-23-03805,E & D  0-9 Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03805&i=5668911
196,The Dhaba,1872 E Apache Blvd  ,Tempe,FD-23-03871,Food Catering    ,Class 5,03/11/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03871&i=5667515
197,Wienerschnitzel,21405 S Ellsworth Rd  ,Queen Creek,FD-23-03947,E & D  0-9 Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-03947&i=5668949
198,Starlite Lounge,4346 W Olive Ave  ,Glendale,FD-23-04010,E & D  10+ Seating  ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-04010&i=5667305
199,Aguila's Hideaway The Office,330 S Gilbert Rd Suite 2/3,Mesa,FD-23-04114,E & D  10+ Seating  ,Class 3,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-04114&i=5667933
200,Oregano's Pizza Bistro,20677 E Maya Rd  ,Queen Creek,FD-23-04173,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-04173&i=5667923
201,Foley Ranch,21001 N Tatum Blvd Suite 93,Phoenix,FD-23-04268,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-04268&i=5668920
202,Sharko's Catering,4522 N 26TH Dr  ,PHOENIX,FD-23-04586,Food Catering    ,Class 5,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-04586&i=5668918
203,Mochinut Boba,21050 N Tatum Blvd Unit 4,Phoenix,FD-23-04714,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-04714&i=5668930
204,JazzIt Gifts and Accessories,1152 N Power Rd Suite 105,Mesa,FD-23-05014,Food Processor    ,Class 2,03/11/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-05014&i=5667511
205,Carniceria Kino,9241 N 6th St  ,Phoenix,FD-23-05350,Meat Market    ,Class 4,03/12/2024,Routine Inspection,Not Participating,2,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-05350&i=5668540
206,Carniceria Kino,9241 N 6th St  ,Phoenix,FD-23-05351,E & D  0-9 Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-05351&i=5668499
207,Coffee 48,1310 E BROADWAY Rd Suite 121,TEMPE,FD-23-05858,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-05858&i=5668352
208,Operation Care Food Bank,1827 W Grovers Ave  ,Phoenix,FD-23-05863,Food Bank    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-05863&i=5668401
209,Bosa Donuts,10410 N 35TH Ave Suite 118,Phoenix,FD-23-06036,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-06036&i=5668347
210,Carniceria Kino,9241 N 6th St  ,Phoenix,FD-23-06066,Retail Food Establishment    ,Class 2,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-06066&i=5668542
211,MEDITERRANEAN MADNESS,10050 W Bell Rd Suite 8,Sun City,FD-23-06082,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-06082&i=5667380
212,Raw Organic Juice Bar,2055 W Frye Rd Suite 6,Chandler,FD-23-06221,E & D  0-9 Seating  ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-06221&i=5668753
213,Pizza Roma Italian Cafe,7145 E MAIN St  ,MESA,FD-23-06322,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23-06322&i=5668777
214,El Original Tacos Jalisco LLC,3060 N 68th St  ,Scottsdale,FD-23000,E & D  10+ Seating  ,Class 4,03/12/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23000&i=5668893
215,The Habit Burger Grill,530 W McDowell Rd  ,Phoenix,FD-23225,E & D  10+ Seating  ,Class 3,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23225&i=5668642
216,Water N Ice,2824 E Indian School Rd Suite 11,Phoenix,FD-23898,Retail Food Establishment    ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23898&i=5667906
217,Water N Ice,2824 E Indian School Rd Suite 11,Phoenix,FD-23899,E & D  0-9 Seating  ,Class 2,03/11/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-23899&i=5667908
218,Canteen @ GE Healthcare,4313 E Cotton Center Blvd  ,Phoenix,FD-24-00142,Micromarket    ,Class 1,03/12/2024,Routine Inspection,Not Participating,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-24-00142&i=5668152
219,Ventana Winds Assisted Living (Pathway),12322 N 113th Ave  ,Youngtown,FD-24071,Service Kitchen    ,Class 2,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-24071&i=5668936
220,Ventana Winds Assisted Living (Memory Care),12322 N 113th Ave  ,Youngtown,FD-24072,Service Kitchen    ,Class 2,03/12/2024,Routine Inspection,B,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-24072&i=5668935
221,Pizza Hut  No 28179,6501 E Greenway Pkwy Unit 108,Scottsdale,FD-25088,E & D  0-9 Seating  ,Class 3,03/12/2024,Routine Inspection,A,0,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-25088&i=5668822
222,Gadzooks Enchiladas & Soup,3313 N 7th St  ,Phoenix,FD-26547,E & D  10+ Seating  ,Class 4,03/11/2024,Routine Inspection,Not Participating,1,http://envapp.maricopa.gov/EnvironmentalHealth/FoodInspection?p=FD-26547&i=5667693
